meter_frame;measured_lux;calculated_lux;delta_lux;error_pct;error_stops;dist_to_fix_m;gamma_fix_deg;meter_tx;meter_ty;meter_tz;meter_qx;meter_qy;meter_qz;meter_qw;calculated_lux_ff;delta_lux_ff;error_pct_ff;error_stops_ff;calculated_lux_revf;delta_lux_revf;error_pct_revf;error_stops_revf
956;367.0000;1216.1121;849.1121;231.3657;1.7284;1.9676;3.928;-1995.795898;1583.809448;954.662415;-0.028385;0.690390;-0.004996;0.722863;1000.4896;633.4896;172.6129;1.4469;904.4568;537.4568;146.4460;1.3013
1102;397.0000;1249.8323;852.8323;214.8192;1.6545;1.9306;5.202;-1957.335449;1628.311279;940.767456;-0.067537;0.641426;-0.061685;0.761713;1094.6110;697.6110;175.7206;1.4632;917.4449;520.4449;131.0944;1.2085
1122;367.0000;1203.8951;836.8951;228.0368;1.7139;1.9855;7.867;-2004.894653;1629.189209;819.107239;-0.077615;0.637498;-0.071163;0.763222;909.1432;542.1432;147.7230;1.3087;876.2905;509.2905;138.7713;1.2556
1139;317.0000;1130.8477;813.8477;256.7343;1.8348;2.0452;11.341;-2047.991943;1657.557495;688.949646;-0.051762;0.592129;-0.077163;0.800469;951.4330;634.4330;200.1366;1.5856;834.7726;517.7726;163.3352;1.3969
1156;297.0000;1084.4880;787.4880;265.1475;1.8685;2.0586;15.251;-2033.471313;1677.057251;545.757690;-0.035510;0.547374;-0.098309;0.830335;787.6318;490.6318;165.1959;1.4071;775.9259;478.9259;161.2545;1.3855
1173;277.0000;1014.9775;737.9775;266.4179;1.8735;2.0522;19.916;-1981.606323;1680.373779;379.357330;-0.017960;0.532641;-0.086020;0.841767;451.0516;174.0516;62.8345;0.7034;755.3774;478.3774;172.6994;1.4473
1215;167.0000;470.0527;303.0527;181.4687;1.4930;2.2172;29.135;-2001.309204;1741.816040;2.919170;0.005600;0.459269;-0.033689;0.887641;366.6247;199.6247;119.5357;1.1345;383.1330;216.1330;129.4210;1.1980
1254;107.0000;166.5152;59.5152;55.6217;0.6380;2.4374;34.537;-2082.549316;1793.946411;-292.655273;0.000653;0.440139;-0.059120;0.895981;148.1734;41.1734;38.4798;0.4697;147.3443;40.3443;37.7050;0.4616
1275;83.0000;101.3702;18.3702;22.1327;0.2884;2.5040;36.425;-2092.993164;1809.950195;-396.317657;0.013703;0.489166;-0.046106;0.870863;123.7185;40.7185;49.0584;0.5759;91.3940;8.3940;10.1132;0.1390
1292;107.0000;60.2440;-46.7560;-43.6972;-0.8287;2.5573;38.009;-2095.831787;1817.165283;-484.650421;0.029550;0.519710;-0.028704;0.853349;105.1306;-1.8694;-1.7471;-0.0254;65.1996;-41.8004;-39.0658;-0.7147
1325;72.0000;108.0844;36.0844;50.1172;0.5861;2.6434;35.698;-2228.866699;1901.627563;-425.845978;0.033217;0.535272;-0.004022;0.844017;60.2941;-11.7059;-16.2583;-0.2560;95.1956;23.1956;32.2161;0.4029
1359;97.0000;304.2655;207.2655;213.6757;1.6493;2.5447;30.391;-2271.503662;1983.691406;-125.724037;0.047255;0.585716;0.013958;0.809017;339.0949;242.0949;249.5824;1.8056;267.1348;170.1348;175.3967;1.4615
