meter_frame;measured_lux;calculated_lux;delta_lux;error_pct;error_stops;dist_to_fix_m;gamma_fix_deg;meter_tx;meter_ty;meter_tz;meter_qx;meter_qy;meter_qz;meter_qw;calculated_lux_ff;delta_lux_ff;error_pct_ff;error_stops_ff;calculated_lux_revf;delta_lux_revf;error_pct_revf;error_stops_revf
1014;157.0000;614.2666;457.2666;291.2526;1.9681;2.7450;13.752;-2713.363281;1544.604126;425.309082;0.032532;0.678244;-0.089604;0.728627;435.5167;278.5167;177.3992;1.4720;440.3023;283.3023;180.4474;1.4877
1047;227.0000;754.2593;527.2593;232.2728;1.7324;2.4591;14.579;-2424.494873;1495.938843;446.629761;0.019775;0.680996;-0.108722;0.723901;679.9497;452.9497;199.5373;1.5827;539.2462;312.2462;137.5534;1.2483
1064;277.0000;839.7935;562.7935;203.1745;1.6001;2.3258;15.485;-2285.625244;1484.140381;440.505005;0.016379;0.651423;-0.125135;0.748145;650.2701;373.2701;134.7546;1.2312;602.5325;325.5325;117.5208;1.1212
1097;367.0000;970.5079;603.5079;164.4436;1.4030;2.1752;16.276;-2134.347656;1563.421753;452.279053;-0.003499;0.619012;-0.110802;0.777519;693.6900;326.6900;89.0163;0.9185;703.7274;336.7274;91.7513;0.9392
1115;417.0000;1002.5386;585.5386;140.4169;1.2655;2.1324;17.084;-2087.304443;1639.819458;447.698853;-0.016464;0.639290;-0.100028;0.762254;804.0778;387.0778;92.8244;0.9473;740.3794;323.3794;77.5490;0.8282
1151;397.0000;936.2720;539.2720;135.8368;1.2378;2.1481;19.299;-2083.608643;1864.638672;452.795898;-0.041495;0.645635;-0.071995;0.759112;871.3460;474.3460;119.4826;1.1341;709.4839;312.4839;78.7113;0.8376
1185;297.0000;809.9839;512.9839;172.7218;1.4474;2.1885;21.564;-2096.773682;2037.395386;467.186951;-0.046697;0.641930;-0.028431;0.764812;618.7968;321.7968;108.3491;1.0590;591.6881;294.6881;99.2216;0.9944
1202;317.0000;861.9393;544.9393;171.9051;1.4431;2.1733;20.675;-2093.432129;2054.913574;537.213379;-0.013251;0.636478;-0.025628;0.770755;682.2227;365.2227;115.2122;1.1058;634.5125;317.5125;100.1617;1.0012
1218;367.0000;929.6943;562.6943;153.3227;1.3410;2.1560;18.545;-2100.471436;2045.907104;655.843018;0.000141;0.642620;-0.008209;0.766141;790.7877;423.7877;115.4735;1.1075;712.5160;345.5160;94.1460;0.9571
1304;497.0000;921.8276;424.8276;85.4784;0.8913;2.1195;16.792;-2064.199707;2010.776001;1377.420532;-0.005136;0.631199;-0.019473;0.775359;679.2828;182.2828;36.6766;0.4508;690.7032;193.7032;38.9745;0.4748
