meter_frame;measured_lux;calculated_lux;delta_lux;error_pct;error_stops;dist_to_fix_m;gamma_fix_deg;meter_tx;meter_ty;meter_tz;meter_qx;meter_qy;meter_qz;meter_qw;calculated_lux_ff;delta_lux_ff;error_pct_ff;error_stops_ff;calculated_lux_revf;delta_lux_revf;error_pct_revf;error_stops_revf
1507;1597.0000;2108.3167;511.3167;32.0173;0.4007;1.9843;12.796;-1957.351074;1155.350464;751.141663;-0.160896;0.645613;-0.010185;0.746453;1781.7595;184.7595;11.5692;0.1579;1533.5308;-63.4692;-3.9743;-0.0585
1533;1497.0000;2057.9001;560.9001;37.4683;0.4591;2.0303;16.792;-1971.202759;1156.516113;559.392334;-0.144980;0.629967;-0.008530;0.762921;2411.6797;914.6797;61.1009;0.6880;1476.2493;-20.7507;-1.3862;-0.0201
1590;1297.0000;1609.9291;312.9291;24.1271;0.3118;2.0847;30.239;-1841.147461;1141.243286;54.248123;-0.108035;0.577816;0.003933;0.808976;1066.1526;-230.8474;-17.7986;-0.2828;1206.6621;-90.3379;-6.9651;-0.1042
1621;967.0000;1172.3059;205.3059;21.2312;0.2778;2.1780;35.861;-1811.832764;1148.918335;-184.894196;-0.103465;0.536631;0.011443;0.837371;829.2711;-137.7289;-14.2429;-0.2217;863.0479;-103.9521;-10.7500;-0.1641
1623;967.0000;1150.7336;183.7336;19.0004;0.2510;2.1801;36.171;-1806.846924;1147.658691;-195.811981;-0.102452;0.536036;0.015218;0.837817;920.9615;-46.0385;-4.7610;-0.0704;845.2541;-121.7459;-12.5901;-0.1941
1645;737.0000;866.8091;129.8091;17.6132;0.2340;2.1816;40.238;-1714.876587;1130.355347;-319.562653;-0.101059;0.517044;0.023987;0.849634;759.9532;22.9532;3.1144;0.0442;660.1006;-76.8994;-10.4341;-0.1590
1649;737.0000;808.2834;71.2834;9.6721;0.1332;2.1789;40.970;-1695.278931;1131.983276;-340.365692;-0.100289;0.512721;0.021962;0.852395;700.8636;-36.1364;-4.9032;-0.0725;633.3880;-103.6120;-14.0586;-0.2186
1671;497.0000;578.1852;81.1852;16.3350;0.2183;2.1768;44.192;-1613.767578;1143.471802;-435.982208;-0.090798;0.511642;0.022799;0.854083;809.3850;312.3850;62.8541;0.7036;490.8765;-6.1235;-1.2321;-0.0179
1704;177.0000;179.1872;2.1872;1.2357;0.0177;2.2787;48.350;-1572.721924;1152.059204;-628.342651;-0.086710;0.485186;0.020255;0.869865;300.2180;123.2180;69.6147;0.7623;159.9559;-17.0441;-9.6294;-0.1461
1736;34.0000;19.9165;-14.0835;-41.4219;-0.7716;2.3237;52.546;-1475.016479;1147.042114;-773.956543;-0.085855;0.513467;0.031094;0.853237;34.9783;0.9783;2.8773;0.0409;33.7750;-0.2250;-0.6616;-0.0096
