meter_frame;measured_lux;calculated_lux;delta_lux;error_pct;error_stops;dist_to_fix_m;gamma_fix_deg;meter_tx;meter_ty;meter_tz;meter_qx;meter_qy;meter_qz;meter_qw;calculated_lux_ff;delta_lux_ff;error_pct_ff;error_stops_ff;calculated_lux_revf;delta_lux_revf;error_pct_revf;error_stops_revf
6623;257.0000;190.1589;-66.8411;-26.0082;-0.4346;2.5372;7.512;-2529.032471;1335.884277;1370.140381;-0.278157;0.664125;0.597174;-0.353481;133.7931;-123.2069;-47.9404;-0.9418;138.5132;-118.4868;-46.1038;-0.8917
6648;237.0000;188.4149;-48.5851;-20.5000;-0.3310;2.4493;8.389;-2449.091309;1698.442871;1346.919922;-0.245404;0.644983;0.437650;-0.576400;134.0369;-102.9631;-43.4443;-0.8223;137.6693;-99.3307;-41.9117;-0.7837
6685;167.0000;144.0227;-22.9773;-13.7589;-0.2136;2.3463;12.841;-2327.832520;1990.078979;1177.447021;-0.348351;0.426715;0.216793;-0.805957;102.7259;-64.2741;-38.4875;-0.7010;105.2237;-61.7763;-36.9918;-0.6664
6712;157.0000;137.2268;-19.7732;-12.5944;-0.1942;2.3086;14.568;-2283.127686;2052.137939;946.020142;-0.341595;0.384815;0.128398;-0.847788;98.6539;-58.3461;-37.1631;-0.6703;100.2493;-56.7507;-36.1470;-0.6472
6737;167.0000;125.3394;-41.6606;-24.9465;-0.4140;2.3266;17.064;-2280.011719;2069.297119;710.975037;-0.310131;0.346378;0.043347;-0.884286;90.6620;-76.3380;-45.7114;-0.8813;91.5434;-75.4566;-45.1836;-0.8673
6764;177.0000;129.5695;-47.4305;-26.7969;-0.4500;2.4263;17.974;-2366.529541;1968.105713;495.396790;-0.187285;0.324005;-0.001402;-0.927331;94.5146;-82.4854;-46.6019;-0.9051;94.6293;-82.3707;-46.5371;-0.9034
6789;117.0000;110.9869;-6.0131;-5.1394;-0.0761;2.4217;19.290;-2344.058594;1827.014282;341.528290;-0.053354;0.309090;0.082438;-0.945950;81.6591;-35.3409;-30.2059;-0.5188;81.0778;-35.9222;-30.7028;-0.5291
6815;177.0000;81.3611;-95.6389;-54.0333;-1.1213;2.2884;21.357;-2187.216064;1680.320923;248.066788;-0.002750;0.258029;0.135726;-0.956552;60.1190;-116.8810;-66.0345;-1.5579;59.4396;-117.5604;-66.4183;-1.5743
6844;227.0000;57.7497;-169.2503;-74.5596;-1.9748;2.0345;24.507;-1905.168457;1597.164429;212.919434;-0.027702;0.257548;0.194885;-0.946003;42.5184;-184.4816;-81.2694;-2.4165;42.1743;-184.8257;-81.4210;-2.4283
6960;237.0000;26.1363;-210.8637;-88.9720;-3.1808;0.8996;30.022;-820.653992;1562.526855;571.503845;-0.114144;0.424512;0.175865;-0.880813;19.0087;-217.9913;-91.9794;-3.6402;19.0739;-217.9261;-91.9520;-3.6352
7013;83.0000;22.4339;-60.5661;-72.9712;-1.8874;0.5653;30.892;-523.010620;1584.145142;725.230713;-0.111315;0.513753;0.126023;-0.841300;16.2960;-66.7040;-80.3663;-2.3486;16.3712;-66.6288;-80.2756;-2.3419
7064;97.0000;19.5930;-77.4070;-79.8011;-2.3076;0.3585;42.492;-301.265076;1596.776733;768.791565;-0.143231;0.554826;0.093415;-0.814203;14.2348;-82.7652;-85.3249;-2.7686;14.2979;-82.7021;-85.2599;-2.7622
7109;34.0000;23.8966;-10.1034;-29.7160;-0.5087;0.6378;23.512;-622.043579;1596.559082;767.518127;-0.126113;0.505325;0.087749;-0.849142;17.3608;-16.6392;-48.9388;-0.9697;17.4384;-16.5616;-48.7105;-0.9633
7153;40.0000;32.9938;-7.0062;-17.5156;-0.2778;1.0512;15.402;-1051.097290;1586.878418;755.131897;-0.158356;0.478407;0.029545;-0.863237;24.0234;-15.9766;-39.9416;-0.7356;24.0779;-15.9221;-39.8054;-0.7323
7196;57.0000;56.2089;-0.7911;-1.3879;-0.0202;1.4920;13.981;-1489.723145;1674.875610;719.207703;-0.135683;0.542152;0.062226;-0.826915;41.0008;-15.9992;-28.0688;-0.4753;41.0295;-15.9705;-28.0185;-0.4743
7255;77.0000;105.7673;28.7673;37.3602;0.4580;2.0757;15.959;-2045.730591;1764.353516;553.780884;-0.119921;0.567426;0.067943;-0.811807;77.8003;0.8003;1.0394;0.0149;77.2556;0.2556;0.3319;0.0048
