frame,seconds,milliseconds,value
664,11,67,740
822,13,700,450
842,14,33,320
859,14,317,280
876,14,600,230
894,14,900,180
910,15,167,160
928,15,467,140
1014,16,900,160
1047,17,450,230
1064,17,733,280
1081,18,17,320
1097,18,283,370
1115,18,583,420
1151,19,183,400
1168,19,467,370
1185,19,750,300
1202,20,33,320
1218,20,300,370
1236,20,600,500
1253,20,883,520
1304,21,733,500
1320,22,0,400
1337,22,283,370
1371,22,850,420
1439,23,983,400
1456,24,267,450
1475,24,583,520
1492,24,867,560
1509,25,150,600
1543,25,717,100
1560,26,0,600
1577,26,283,520
1611,26,850,560
1645,27,417,600
1678,27,967,560
1714,28,567,600
1894,31,567,560
1931,32,183,500
1991,33,183,560
2011,33,517,500
2028,33,800,340
2046,34,100,260
2061,34,350,230
2079,34,650,200
2096,34,933,170
2113,35,217,150
2130,35,500,120
2147,35,783,110
2198,36,633,100
2215,36,917,86
2299,38,317,100
2318,38,633,110
2335,38,917,120
2352,39,200,130
2369,39,483,120
2420,40,333,110
2454,40,900,100
2472,41,200,86
2524,42,67,110
2541,42,350,140
2558,42,633,180
2575,42,917,260
2591,43,183,370
2608,43,467,560
2625,43,750,640
2644,44,67,700
2678,44,633,600
2695,44,917,420
2712,45,200,300
2729,45,483,230
2746,45,767,170
2763,46,50,130
2780,46,333,110
2797,46,617,86
2814,46,900,70
2831,47,183,60
2864,47,733,43
2881,48,17,37
2898,48,300,32
2915,48,583,28
2932,48,867,26
2949,49,150,25
2968,49,467,23
2985,49,750,21
3002,50,33,20
3087,51,450,21
3155,52,583,20
3172,52,867,17
3189,53,150,120
3223,53,717,130
3257,54,283,140
3275,54,583,150
3311,55,183,26
3345,55,750,30
3362,56,33,32
3379,56,317,35
3394,56,567,35
3429,57,150,40
3496,58,267,40
3582,59,700,50
3618,60,300,60
3635,60,583,65
3652,60,867,75
3670,61,167,86
3687,61,450,100
3703,61,717,110
3720,62,0,130
3737,62,283,150
3754,62,567,180
3771,62,850,200
3788,63,133,210
3805,63,417,180
3821,63,683,160
3838,63,967,130
3856,64,267,110
3873,64,550,120
3907,65,117,110
3924,65,400,86
3941,65,683,86
3960,66,0,60
3993,66,550,65
4010,66,833,70
4079,67,983,75
4096,68,267,80
4130,68,833,70
4148,69,133,65
4164,69,400,60
4181,69,683,57
4198,69,967,53
4232,70,533,50
4249,70,817,46
4267,71,117,43
4285,71,417,40
4302,71,700,37
4319,71,983,35
4336,72,267,32
4404,73,400,30
4438,73,967,28
4472,74,533,30
4488,74,800,28
4510,75,167,26
4528,75,467,25
4591,76,517,25
4608,76,800,23
4626,77,100,20
4728,78,800,19
4762,79,367,21
4779,79,650,23
4796,79,933,25
4814,80,233,28
4831,80,517,30
4847,80,783,30
4865,81,83,40
4882,81,367,50
4918,81,967,70
4935,82,250,86
4952,82,533,100
4969,82,817,120
4986,83,100,130
5003,83,383,160
5036,83,933,230
5053,84,217,240
5070,84,500,260
5087,84,783,240
5138,85,633,230
5155,85,917,210
5172,86,200,180
5206,86,767,170
5224,87,67,160
5259,87,650,120
5293,88,217,86
5327,88,783,75
5361,89,350,70
5378,89,633,65
5395,89,917,60
5411,90,183,57
5429,90,483,53
5446,90,767,50
5550,92,500,3.3
