frame,seconds,milliseconds,value
956,15,933,370
1102,18,367,400
1122,18,700,370
1139,18,983,320
1156,19,267,300
1173,19,550,280
1215,20,250,170
1254,20,900,110
1275,21,250,86
1292,21,533,110
1325,22,83,75
1359,22,650,100
1376,22,933,120
1393,23,217,140
1410,23,500,150
1427,23,783,170
1495,24,917,160
1541,25,683,140
1561,26,17,120
1578,26,300,110
1595,26,583,100
1629,27,150,110
1663,27,717,100
1680,28,0,110
1697,28,283,130
1715,28,583,160
1732,28,867,170
1749,29,150,200
1766,29,433,210
1783,29,717,230
1816,30,267,210
1833,30,550,230
1869,31,150,260
1903,31,717,300
1919,31,983,400
1937,32,283,600
1954,32,567,900
1971,32,850,1300
1973,32,883,1300
1988,33,133,1200
2005,33,417,1000
2022,33,700,840
2038,33,967,640
2056,34,267,740
2073,34,550,840
2090,34,833,900
2107,35,117,840
2123,35,383,640
2141,35,683,520
2175,36,250,700
2194,36,567,840
2211,36,850,900
2228,37,133,1000
2262,37,700,1100
2279,37,983,1000
2296,38,267,970
2313,38,550,900
2330,38,833,1000
2347,39,117,1200
2364,39,400,1500
2381,39,683,1400
2397,39,950,1100
2414,40,233,740
2431,40,517,420
2448,40,800,320
2465,41,83,420
2483,41,383,840
2500,41,667,1400
2519,41,983,1800
2569,42,817,1700
2587,43,117,1500
2604,43,400,1700
2621,43,683,2000
2638,43,967,2400
2655,44,250,2100
2706,45,100,2600
2723,45,383,1900
2740,45,667,1500
2757,45,950,970
2774,46,233,700
2791,46,517,500
2807,46,783,340
2825,47,83,260
2844,47,400,210
2861,47,683,160
2877,47,950,130
2894,48,233,110
2911,48,517,100
2928,48,800,80
2945,49,83,70
2962,49,367,65
2996,49,933,50
3013,50,217,46
3047,50,783,37
3064,51,67,35
3081,51,350,32
3115,51,917,30
3132,52,200,28
3148,52,467,20
3155,52,583,26
3218,53,633,25
3252,54,200,20
3270,54,500,21
3321,55,350,20
3389,56,483,21
3406,56,767,23
3440,57,333,26
3474,57,900,28
3493,58,217,30
3510,58,500,32
3527,58,783,35
3561,59,350,37
3578,59,633,40
3629,60,483,80
3663,61,50,70
3813,63,550,70
3818,63,633,70
3827,63,783,70
3874,64,567,110
3895,64,917,130
3911,65,183,150
3914,65,233,150
3929,65,483,180
3946,65,767,210
3980,66,333,200
3996,66,600,210
4048,67,467,200
4065,67,750,180
4082,68,33,170
4099,68,317,140
4116,68,600,120
4133,68,883,110
4150,69,167,100
4220,70,333,90
4238,70,633,80
4246,70,767,80
4271,71,183,75
4288,71,467,70
4305,71,750,65
4406,73,433,53
4440,74,0,50
4457,74,283,46
4490,74,833,43
4508,75,133,40
4527,75,450,37
4544,75,733,35
4561,76,17,32
4595,76,583,30
4612,76,867,86
4629,77,150,90
4646,77,433,80
4680,78,0,70
4697,78,283,65
4709,78,483,65
4711,78,517,05
4717,78,617,65
4721,78,683,65
4758,79,300,65
4764,79,400,65
4784,79,733,65
4858,80,967,70
4896,81,600,80
4964,82,733,60
4998,83,300,53
5014,83,567,50
5031,83,850,43
5048,84,133,40
5065,84,417,37
5099,84,983,32
5116,85,267,30
5133,85,550,28
5237,87,283,26
5253,87,550,28
5285,88,83,28
5288,88,133,30
5356,89,267,32
5423,90,383,35
5440,90,667,37
5457,90,950,43
5474,91,233,50
5491,91,517,53
5527,92,117,60
5698,94,967,65
5715,95,250,70
5731,95,517,75
5749,95,817,80
5765,96,83,86
5799,96,650,80
5835,97,250,86
5852,97,533,100
5869,97,817,110
5886,98,100,140
5903,98,383,170
5920,98,667,200
5937,98,950,210
5954,99,233,200
5971,99,517,170
6022,100,367,200
6039,100,650,240
6056,100,933,280
6073,101,217,260
6107,101,783,230
6124,102,67,200
6128,102,133,200
6141,102,350,180
6194,103,233,200
6228,103,800,170
6245,104,83,150
6262,104,367,140
6278,104,633,130
6296,104,933,120
6313,105,217,100
6330,105,500,80
6347,105,783,70
6364,106,67,60
6382,106,367,53
6399,106,650,43
6416,106,933,40
6433,107,217,37
6450,107,500,40
6486,108,100,50
6520,108,667,65
6536,108,933,70
6639,110,650,75
6659,110,983,75
