Format Version,1.23,Take Name,Illuminance Optitrack_solved,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-05-09 03.20.26.743,Capture Start Frame,1623671,Total Frames in Take,16332,Total Exported Frames,16332,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Belichtungsmesser,Belichtungsmesser,Belichtungsmesser,Belichtungsmesser,Belichtungsmesser,Belichtungsmesser,Belichtungsmesser
,ID,CB533F304BA611F1291E8F4A9A9044A0,CB533F304BA611F1291E8F4A9A9044A0,CB533F304BA611F1291E8F4A9A9044A0,CB533F304BA611F1291E8F4A9A9044A0,CB533F304BA611F1291E8F4A9A9044A0,CB533F304BA611F1291E8F4A9A9044A0,CB533F304BA611F1291E8F4A9A9044A0
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
56,0.467000,0.108484,0.740057,-0.552672,0.367561,-3939.470065,1359.501369,-2912.716226
57,0.475000,0.109372,0.739377,-0.553053,0.368093,-3938.989329,1359.490140,-2912.877456
58,0.483000,0.110248,0.738766,-0.553359,0.368596,-3938.497189,1359.523270,-2913.055297
59,0.492000,0.110996,0.738204,-0.553723,0.368953,-3938.026802,1359.522722,-2913.278948
60,0.500000,0.111478,0.737675,-0.554115,0.369278,-3937.535536,1359.491308,-2913.558781
61,0.508000,0.112180,0.737239,-0.554404,0.369501,-3936.960528,1359.516397,-2913.920023
62,0.517000,0.112694,0.737141,-0.554566,0.369297,-3936.544633,1359.620141,-2914.287240
63,0.525000,0.112877,0.737006,-0.554603,0.369455,-3936.094263,1359.731232,-2914.641691
64,0.533000,0.112552,0.736882,-0.554504,0.369949,-3935.606234,1359.828472,-2915.003401
65,0.542000,0.112604,0.736539,-0.554302,0.370917,-3934.805177,1359.831257,-2915.429277
66,0.550000,0.112949,0.736208,-0.554240,0.371563,-3934.177896,1359.940507,-2915.777718
67,0.558000,0.113191,0.735953,-0.554064,0.372255,-3933.602993,1360.105142,-2916.051410
68,0.567000,0.113433,0.735580,-0.553882,0.373188,-3933.017530,1360.265598,-2916.242966
69,0.575000,0.113591,0.735129,-0.553851,0.374074,-3932.454652,1360.402654,-2916.428324
70,0.583000,0.113632,0.734744,-0.553767,0.374942,-3931.898726,1360.531690,-2916.606779
71,0.592000,0.113548,0.734620,-0.553465,0.375655,-3931.408279,1360.743300,-2916.825203
72,0.600000,0.113274,0.734627,-0.553147,0.376192,-3930.998895,1360.958271,-2917.054638
73,0.608000,0.112897,0.734513,-0.553022,0.376712,-3930.623000,1361.083923,-2917.277688
74,0.617000,0.112748,0.734446,-0.552988,0.376936,-3930.285481,1361.213918,-2917.518838
75,0.625000,0.112343,0.734117,-0.552918,0.377800,-3929.731008,1361.161752,-2917.840554
76,0.633000,0.112144,0.734186,-0.552874,0.377789,-3929.535355,1361.307037,-2918.101559
77,0.642000,0.111708,0.734489,-0.552723,0.377550,-3929.478747,1361.472948,-2918.340312
78,0.650000,0.111291,0.734768,-0.552665,0.377216,-3929.473105,1361.618806,-2918.537225
79,0.658000,0.110740,0.735043,-0.552700,0.376791,-3929.501995,1361.733504,-2918.700429
80,0.667000,0.110228,0.735260,-0.552779,0.376402,-3929.542116,1361.859554,-2918.824636
81,0.675000,0.109766,0.735468,-0.552888,0.375970,-3929.599873,1361.988780,-2918.909070
82,0.683000,0.109387,0.735671,-0.552922,0.375632,-3929.625509,1362.134375,-2918.967975
83,0.692000,0.108967,0.735859,-0.552914,0.375399,-3929.641766,1362.294272,-2919.001483
84,0.700000,0.108454,0.735994,-0.552792,0.375463,-3929.605573,1362.455986,-2919.005376
85,0.708000,0.107951,0.736105,-0.552624,0.375635,-3929.547630,1362.628197,-2918.985081
86,0.717000,0.107332,0.736187,-0.552453,0.375904,-3929.491807,1362.783124,-2918.933116
87,0.725000,0.104938,0.737087,-0.549924,0.378517,-3928.890114,1363.161480,-2919.050741
88,0.733000,0.103675,0.737489,-0.548821,0.379680,-3928.626253,1363.374926,-2919.042754
89,0.742000,0.103080,0.737504,-0.548656,0.380050,-3928.549050,1363.463934,-2918.927317
90,0.750000,0.102463,0.737571,-0.548512,0.380297,-3928.524413,1363.559920,-2918.795965
91,0.758000,0.101775,0.737667,-0.548244,0.380681,-3928.459426,1363.633586,-2918.660784
92,0.767000,0.101081,0.737669,-0.547962,0.381267,-3928.325091,1363.655192,-2918.484446
93,0.775000,0.100458,0.737620,-0.547711,0.381887,-3928.174516,1363.622469,-2918.278759
94,0.783000,0.100070,0.737580,-0.547580,0.382253,-3928.079927,1363.568322,-2918.068143
95,0.792000,0.100108,0.737464,-0.547681,0.382322,-3928.010408,1363.443339,-2917.847589
96,0.800000,0.100413,0.737299,-0.547926,0.382209,-3927.965606,1363.255749,-2917.623403
97,0.808000,0.100889,0.737170,-0.548289,0.381813,-3928.002712,1363.033303,-2917.408219
98,0.817000,0.101264,0.737025,-0.548788,0.381276,-3928.084527,1362.746179,-2917.190225
99,0.825000,0.101611,0.736909,-0.549364,0.380579,-3928.171984,1362.401331,-2916.993709
100,0.833000,0.102045,0.736844,-0.550070,0.379568,-3928.296339,1362.010721,-2916.824373
101,0.842000,0.102363,0.736894,-0.550801,0.378322,-3928.459802,1361.602125,-2916.701380
102,0.850000,0.102646,0.737127,-0.551572,0.376664,-3928.711958,1361.201508,-2916.621896
103,0.858000,0.102821,0.737375,-0.552397,0.374918,-3928.956732,1360.754591,-2916.602021
104,0.867000,0.105142,0.736645,-0.556065,0.370259,-3929.864097,1359.972913,-2916.384083
105,0.875000,0.105134,0.737161,-0.556689,0.368291,-3930.152886,1359.529206,-2916.464701
106,0.883000,0.105126,0.737741,-0.557337,0.366144,-3930.461438,1359.081971,-2916.603464
107,0.892000,0.105060,0.738219,-0.558062,0.364090,-3930.750194,1358.588917,-2916.768402
108,0.900000,0.105028,0.738673,-0.558698,0.362198,-3930.941805,1358.057008,-2916.984354
109,0.908000,0.104951,0.739432,-0.559170,0.359936,-3931.167389,1357.546115,-2917.278385
110,0.917000,0.105132,0.740191,-0.559667,0.357545,-3931.453598,1357.031750,-2917.578597
111,0.925000,0.105181,0.741068,-0.560252,0.354786,-3931.873306,1356.435870,-2917.906533
112,0.933000,0.105027,0.742209,-0.560586,0.351907,-3932.375592,1355.906384,-2918.270656
113,0.942000,0.101076,0.744749,-0.556379,0.354365,-3931.625194,1355.616957,-2919.001891
114,0.950000,0.096524,0.748561,-0.550404,0.356925,-3930.921798,1355.704115,-2919.897955
115,0.958000,0.097118,0.750001,-0.550786,0.353130,-3931.679234,1355.223938,-2920.333329
116,0.967000,0.096391,0.751011,-0.551791,0.349597,-3932.440893,1354.316799,-2920.683301
117,0.975000,0.096359,0.752358,-0.552756,0.345158,-3933.379993,1353.484070,-2921.134355
118,0.983000,0.096574,0.753994,-0.553343,0.340556,-3934.410871,1352.851101,-2921.625392
