frame,seconds,milliseconds,value
8198,136,633,110
8216,136,933,75
8233,137,217,53
8250,137,500,37
8267,137,783,28
8283,138,50,25
8319,138,650,28
8337,138,950,35
8354,139,233,46
8371,139,517,57
8388,139,800,70
8405,140,83,86
8422,140,367,100
8439,140,650,110
8456,140,933,130
8473,141,217,140
8490,141,500,150
8523,142,50,160
8541,142,350,170
8574,142,900,180
8626,143,767,200
8679,144,650,180
8695,144,917,200
8764,146,67,210
8933,148,883,200
8970,149,500,180
9055,150,917,200
9088,151,467,180
9105,151,750,170
9122,152,33,150
9139,152,317,130
9156,152,600,110
9174,152,900,86
9191,153,183,65
9208,153,467,53
9225,153,750,50
9242,154,33,46
9258,154,300,40
9275,154,583,30
9294,154,900,25
9311,155,183,28
9328,155,467,40
9345,155,750,53
9362,156,33,75
9379,156,317,90
9397,156,617,110
9413,156,883,130
9431,157,183,140
9464,157,733,150
9583,159,717,140
9704,161,733,130
9890,164,833,120
9925,165,417,110
10087,168,117,120
10136,168,933,130
10303,171,717,140
10372,172,867,150
10443,174,50,160
10504,175,67,180
10867,181,117,200
10887,181,450,180
10938,182,300,170
10954,182,567,160
11001,183,350,150
11050,184,167,130
11106,185,100,120
11165,186,83,110
11295,188,250,100
11348,189,133,90
11809,196,817,100
11861,197,683,110
11976,199,600,120
12191,203,183,110
12295,204,917,100
12446,207,433,110
12610,210,167,110
12632,210,533,110
12654,210,900,110
12676,211,267,110
12695,211,583,110
12717,211,950,110
12745,212,417,110
12770,212,833,110
12916,215,267,100
13086,218,100,90
13163,219,383,86
13229,220,483,86
13281,221,350,80
13306,221,767,80
13337,222,283,90
13394,223,233,110
13450,224,167,130
13505,225,83,160
13557,225,950,180
13616,226,933,200
13681,228,17,210
13807,230,117,230
13869,231,150,260
13937,232,283,300
14004,233,400,320
14060,234,333,340
14115,235,250,320
14174,236,233,180
14219,236,983,280
14284,238,67,700
14340,239,0,840
14390,239,833,970
14440,240,667,900
14490,241,500,800
14539,242,317,520
14582,243,33,200
14630,243,833,110
14676,244,600,240
14720,245,333,840
14761,246,17,1600
14799,246,650,1800
14822,247,33,1800
14845,247,417,2000
14866,247,767,2000
14888,248,133,2600
14911,248,517,2600
14933,248,883,2200
14958,249,300,2200
14980,249,667,420
15003,250,50,420
15025,250,417,80
15071,251,183,1100
15077,251,283,1100
15119,251,983,3600
15168,252,800,5000
15215,253,583,4800
15255,254,250,4500
15301,255,17,1300
15354,255,900,260
15407,256,783,1600
15454,257,567,9000
15467,257,783,9000
15469,257,817,9000
15483,258,50,9000
15504,258,400,9000
15507,258,450,9000
15552,259,200,9600
15601,260,17,8000
15650,260,833,8300
15698,261,633,8000
15742,262,367,5500
15789,263,150,450
15838,263,967,53
15886,264,767,120
15936,265,600,1500
16025,267,83,2400
16076,267,933,1800
16120,268,667,900
16179,269,650,560
16228,270,467,700
16275,271,250,1100
16321,272,17,1800
16366,272,767,1900
16411,273,517,1600
16458,274,300,1400
16505,275,83,970
16552,275,867,840
16618,276,967,600
16666,277,767,400
16716,278,600,340
16763,279,383,240
16853,280,883,120
16913,281,883,160
16960,282,667,170
17003,283,383,200
17040,284,0,210
17084,284,733,230
17108,285,133,230
17130,285,500,240
17163,286,50,240
17185,286,417,260
17222,287,33,260
17244,287,400,280
17275,287,917,280
17297,288,283,320
17350,289,167,320
