Format Version,1.23,Take Name,1 Lampe schwarzer Raum 60 styro_solved,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-05-09 04.28.53.531,Capture Start Frame,2116479,Total Frames in Take,17915,Total Exported Frames,17915,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Belichtungsmesser,Belichtungsmesser,Belichtungsmesser,Belichtungsmesser,Belichtungsmesser,Belichtungsmesser,Belichtungsmesser
,ID,CB533F304BA611F1291E8F4A9A9044A0,CB533F304BA611F1291E8F4A9A9044A0,CB533F304BA611F1291E8F4A9A9044A0,CB533F304BA611F1291E8F4A9A9044A0,CB533F304BA611F1291E8F4A9A9044A0,CB533F304BA611F1291E8F4A9A9044A0,CB533F304BA611F1291E8F4A9A9044A0
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
55,0.458000,0.178769,0.842751,-0.270509,0.429694,-3558.035126,1064.411967,-2653.214774
56,0.467000,0.176972,0.842996,-0.270341,0.430064,-3558.743156,1065.097368,-2653.731897
57,0.475000,0.175307,0.844360,-0.271227,0.427505,-3559.666623,1065.934974,-2654.634615
58,0.483000,0.175694,0.844413,-0.271008,0.427379,-3560.034665,1066.675258,-2654.906169
59,0.492000,0.176363,0.843876,-0.270792,0.428301,-3560.172882,1067.273079,-2655.027229
60,0.500000,0.174244,0.844203,-0.269473,0.429354,-3561.060851,1068.203387,-2655.333667
61,0.508000,0.174047,0.844321,-0.269050,0.429467,-3561.580594,1069.176210,-2655.606229
62,0.517000,0.172179,0.846107,-0.269519,0.426399,-3562.835587,1070.317003,-2656.472570
63,0.525000,0.172090,0.846023,-0.269014,0.426921,-3563.240728,1071.255850,-2656.767428
64,0.533000,0.173731,0.845365,-0.268939,0.427606,-3563.369480,1072.111159,-2656.877134
65,0.542000,0.173632,0.845500,-0.268522,0.427642,-3564.059911,1073.171664,-2657.142160
66,0.550000,0.170430,0.847070,-0.268554,0.425800,-3565.418468,1074.530671,-2658.001526
67,0.558000,0.168739,0.848243,-0.269397,0.423598,-3566.428172,1075.820778,-2658.905583
68,0.567000,0.168449,0.848990,-0.269328,0.422261,-3567.167000,1077.090943,-2659.423827
69,0.575000,0.167346,0.848854,-0.268140,0.423725,-3567.812478,1078.488611,-2659.719097
70,0.583000,0.168221,0.848501,-0.268013,0.424167,-3568.163962,1079.721807,-2659.917198
71,0.592000,0.168232,0.848222,-0.268398,0.424475,-3568.650880,1080.855686,-2660.272177
72,0.600000,0.169035,0.847727,-0.268140,0.425308,-3568.860861,1082.229138,-2660.526460
73,0.608000,0.168290,0.847904,-0.268152,0.425244,-3569.674509,1083.559906,-2660.877456
74,0.617000,0.168078,0.847338,-0.267932,0.426591,-3570.005916,1084.985077,-2661.080422
75,0.625000,0.169241,0.846813,-0.267719,0.427308,-3570.104784,1086.554062,-2661.347108
76,0.633000,0.168641,0.846854,-0.266972,0.427930,-3570.838488,1088.165815,-2661.648694
77,0.642000,0.170028,0.846109,-0.266068,0.429415,-3570.711145,1089.994250,-2661.780030
78,0.650000,0.169987,0.844968,-0.265878,0.431789,-3570.984523,1091.574078,-2661.994215
79,0.658000,0.170359,0.843399,-0.265584,0.434880,-3570.919433,1093.256044,-2662.063981
80,0.667000,0.171324,0.842453,-0.265384,0.436455,-3571.002114,1095.081632,-2662.167087
81,0.675000,0.171198,0.841237,-0.264658,0.439281,-3571.145571,1096.891145,-2662.208229
82,0.683000,0.171923,0.839460,-0.263665,0.442978,-3570.771014,1098.860955,-2662.139197
83,0.692000,0.171503,0.838664,-0.263836,0.444546,-3571.312022,1100.589794,-2662.290886
84,0.700000,0.172384,0.837035,-0.263510,0.447458,-3571.001350,1102.709009,-2662.211134
85,0.708000,0.172961,0.835660,-0.263224,0.449967,-3570.930083,1104.725239,-2662.084138
86,0.717000,0.172647,0.834500,-0.263364,0.452153,-3571.065653,1106.862179,-2662.266731
87,0.725000,0.172800,0.832756,-0.263267,0.455355,-3570.754156,1108.896556,-2662.206545
88,0.733000,0.173762,0.830585,-0.262615,0.459314,-3569.920028,1111.301588,-2662.057192
89,0.742000,0.172286,0.829893,-0.262636,0.461105,-3570.361365,1113.470601,-2662.250292
90,0.750000,0.173017,0.827707,-0.262790,0.464658,-3569.859310,1115.502156,-2662.064625
91,0.758000,0.173266,0.826197,-0.263089,0.467079,-3569.639218,1117.641912,-2661.955359
92,0.767000,0.172167,0.824817,-0.262880,0.470032,-3569.838341,1119.800851,-2661.931796
93,0.775000,0.172611,0.823015,-0.263071,0.472912,-3569.332373,1121.928635,-2661.733872
94,0.783000,0.172393,0.820939,-0.263235,0.476495,-3569.198541,1124.018784,-2661.525714
95,0.792000,0.172192,0.819391,-0.262850,0.479435,-3568.898551,1126.341220,-2661.354453
96,0.800000,0.170491,0.807557,-0.272666,0.494406,-3566.408570,1126.073150,-2661.203152
97,0.808000,0.168897,0.806038,-0.272483,0.497523,-3566.673807,1128.362971,-2660.919216
98,0.817000,0.169512,0.803368,-0.274271,0.500640,-3566.003361,1130.180380,-2660.523375
99,0.825000,0.168416,0.801506,-0.274430,0.503898,-3565.796143,1132.605662,-2660.093885
100,0.833000,0.167509,0.798935,-0.275339,0.507773,-3565.503586,1134.834935,-2659.505152
101,0.842000,0.166546,0.796949,-0.276062,0.510807,-3565.288579,1136.997101,-2659.009947
102,0.850000,0.166051,0.794279,-0.277476,0.514350,-3564.762275,1139.141821,-2658.406488
103,0.858000,0.164600,0.792059,-0.277971,0.517960,-3564.610806,1141.446305,-2657.669084
104,0.867000,0.162427,0.790469,-0.277961,0.521070,-3564.791327,1143.668549,-2656.956325
105,0.875000,0.162991,0.786888,-0.279952,0.525231,-3563.726878,1145.485841,-2656.068458
106,0.883000,0.163314,0.784720,-0.280856,0.527885,-3563.279891,1147.684024,-2655.176525
107,0.892000,0.162788,0.782452,-0.281042,0.531305,-3563.159327,1149.854687,-2654.142997
108,0.900000,0.160019,0.779798,-0.281612,0.535727,-3563.209910,1151.691951,-2653.302825
109,0.908000,0.158348,0.777533,-0.280941,0.539852,-3563.022767,1153.779588,-2652.325124
110,0.917000,0.157499,0.775036,-0.281389,0.543446,-3562.820924,1155.686044,-2651.129308
111,0.925000,0.156161,0.774253,-0.280850,0.545225,-3563.389794,1158.004296,-2650.080959
112,0.933000,0.155499,0.772104,-0.281714,0.548007,-3563.409506,1159.780919,-2649.070565
113,0.942000,0.155224,0.769317,-0.283472,0.551090,-3562.956302,1160.987895,-2648.193466
114,0.950000,0.154520,0.767898,-0.283247,0.553378,-3563.249343,1163.148676,-2647.093448
115,0.958000,0.153752,0.766712,-0.283185,0.555265,-3563.687909,1165.143824,-2645.998215
116,0.967000,0.152473,0.764008,-0.284916,0.558450,-3563.550334,1166.381383,-2644.923686
117,0.975000,0.151396,0.763233,-0.284534,0.559995,-3564.165362,1168.451854,-2643.729911
118,0.983000,0.150516,0.761921,-0.284571,0.561997,-3564.686520,1170.373371,-2642.407435
119,0.992000,0.149937,0.761032,-0.283110,0.564090,-3565.255457,1172.765884,-2640.993091
120,1.000000,0.149188,0.760019,-0.282349,0.566033,-3565.719687,1174.822348,-2639.676295
121,1.008000,0.148349,0.758300,-0.282943,0.568258,-3566.028331,1176.463095,-2638.402329
122,1.017000,0.147076,0.757704,-0.282200,0.569751,-3566.707458,1178.514867,-2637.034169
123,1.025000,0.146459,0.756551,-0.282093,0.571492,-3567.326628,1180.425651,-2635.507456
124,1.033000,0.144403,0.755745,-0.280741,0.573744,-3568.213085,1182.679935,-2634.017667
125,1.042000,0.143305,0.754874,-0.280389,0.575335,-3568.815200,1184.659802,-2632.657578
126,1.050000,0.142446,0.752800,-0.281980,0.577485,-3569.123667,1185.990955,-2631.224881
127,1.058000,0.141516,0.752280,-0.281322,0.578711,-3569.845604,1188.028930,-2629.624814
128,1.067000,0.140395,0.752449,-0.280672,0.579079,-3571.133464,1190.138000,-2628.028580
129,1.075000,0.139153,0.751568,-0.281336,0.580200,-3572.033188,1191.854565,-2626.514387
130,1.083000,0.138571,0.752534,-0.280241,0.579618,-3573.153915,1193.937461,-2624.997431
131,1.092000,0.138429,0.754351,-0.278662,0.578048,-3574.331142,1195.956826,-2623.596037
132,1.100000,0.138338,0.758244,-0.276331,0.574081,-3576.398060,1198.465249,-2622.244539
133,1.108000,0.137899,0.759130,-0.275837,0.573254,-3577.635650,1200.326683,-2620.632054
134,1.117000,0.135580,0.747857,-0.284845,0.584116,-3576.252535,1199.558612,-2618.165846
135,1.125000,0.135087,0.747799,-0.285742,0.583866,-3577.430327,1201.053924,-2616.416891
136,1.133000,0.134921,0.746986,-0.286762,0.584445,-3578.246055,1202.451364,-2614.540480
137,1.142000,0.134911,0.746167,-0.288090,0.584840,-3579.155872,1203.677049,-2612.582666
138,1.150000,0.135265,0.744636,-0.290485,0.585525,-3579.826968,1204.492177,-2610.552538
139,1.158000,0.135854,0.743695,-0.291579,0.586040,-3580.746776,1205.725136,-2608.223404
140,1.167000,0.136085,0.744759,-0.290818,0.585013,-3582.360307,1207.522039,-2605.910848
141,1.175000,0.136230,0.744673,-0.289896,0.585546,-3583.605677,1209.242410,-2603.335599
142,1.183000,0.136944,0.746422,-0.288594,0.583793,-3585.300316,1210.963675,-2600.868635
143,1.192000,0.138236,0.748641,-0.285971,0.581934,-3587.017546,1213.057992,-2598.236419
144,1.200000,0.139006,0.751022,-0.283653,0.579814,-3588.906570,1214.953990,-2595.605696
145,1.208000,0.139613,0.750311,-0.283805,0.580514,-3590.103108,1216.127291,-2592.657130
146,1.217000,0.140038,0.749608,-0.283814,0.581314,-3591.406125,1217.326743,-2589.620032
147,1.225000,0.140563,0.748645,-0.284154,0.582262,-3592.604088,1218.318287,-2586.600697
148,1.233000,0.141651,0.748066,-0.284156,0.582742,-3593.909620,1219.383485,-2583.414776
149,1.242000,0.142416,0.747403,-0.284267,0.583352,-3595.279448,1220.319378,-2580.223536
150,1.250000,0.143617,0.746391,-0.284908,0.584040,-3596.446584,1220.919220,-2577.016880
151,1.258000,0.144775,0.746018,-0.284423,0.584466,-3597.956508,1221.909840,-2573.633822
152,1.267000,0.146256,0.745373,-0.284109,0.585074,-3599.273531,1222.730370,-2570.226479
153,1.275000,0.147583,0.745083,-0.283419,0.585444,-3600.829043,1223.554962,-2566.732598
154,1.283000,0.149272,0.744003,-0.283441,0.586378,-3602.151149,1224.092398,-2563.096284
155,1.292000,0.151200,0.743017,-0.283385,0.587161,-3603.450018,1224.548931,-2559.358914
156,1.300000,0.152981,0.741232,-0.284469,0.588430,-3604.469739,1224.444293,-2555.671975
157,1.308000,0.155531,0.739149,-0.284933,0.590154,-3605.396321,1224.571368,-2551.697598
158,1.317000,0.157911,0.738259,-0.284601,0.590796,-3606.895008,1225.099034,-2547.695485
159,1.325000,0.160371,0.737214,-0.284122,0.591668,-3608.442442,1225.530420,-2543.524411
160,1.333000,0.163479,0.735572,-0.283415,0.593199,-3609.679067,1226.017934,-2539.240159
161,1.342000,0.165935,0.733569,-0.283706,0.594855,-3610.964393,1226.142206,-2534.918227
162,1.350000,0.167467,0.733106,-0.282308,0.595662,-3612.981225,1226.938487,-2530.585851
163,1.358000,0.170149,0.731301,-0.283012,0.596785,-3614.367766,1227.002029,-2526.184785
164,1.367000,0.173091,0.729409,-0.283518,0.598013,-3615.806778,1227.056075,-2521.769388
165,1.375000,0.175964,0.727546,-0.283314,0.599538,-3617.334038,1227.434090,-2517.216737
166,1.383000,0.178668,0.727408,-0.282861,0.599120,-3620.035317,1228.400211,-2512.568486
167,1.392000,0.180535,0.724548,-0.283131,0.601892,-3621.579680,1228.664974,-2507.739637
168,1.400000,0.182675,0.722170,-0.283705,0.603831,-3623.248635,1228.881395,-2502.975738
169,1.408000,0.183582,0.718324,-0.284561,0.607728,-3624.669771,1228.877670,-2498.200755
170,1.417000,0.184680,0.714796,-0.286214,0.610771,-3626.187806,1228.775944,-2493.489617
171,1.425000,0.183052,0.697972,-0.297768,0.625029,-3625.558233,1226.016081,-2487.439583
172,1.433000,0.183300,0.698804,-0.294470,0.625588,-3628.049600,1227.369690,-2482.902570
173,1.442000,0.183599,0.694971,-0.294341,0.629818,-3629.725875,1227.838178,-2477.726424
174,1.450000,0.185037,0.694303,-0.293289,0.630624,-3631.871570,1228.530505,-2473.138578
175,1.458000,0.184843,0.688509,-0.296815,0.635365,-3633.352444,1227.961029,-2468.003601
176,1.467000,0.186212,0.685499,-0.297329,0.637975,-3635.064542,1228.152839,-2463.211190
177,1.475000,0.186851,0.680737,-0.298705,0.642230,-3636.358468,1227.876144,-2458.278617
178,1.483000,0.188095,0.676201,-0.300234,0.645935,-3637.648685,1227.571766,-2453.460707
179,1.492000,0.188869,0.675608,-0.297941,0.647389,-3640.377428,1229.107815,-2448.775457
180,1.500000,0.188161,0.678417,-0.296681,0.645233,-3643.929616,1230.567491,-2444.422732
181,1.508000,0.187560,0.675723,-0.301269,0.646109,-3645.483795,1229.558775,-2440.539014
182,1.517000,0.185633,0.676037,-0.302343,0.645835,-3648.102620,1230.140067,-2436.784404
183,1.525000,0.183698,0.675782,-0.304422,0.645679,-3650.552300,1230.338379,-2433.133317
184,1.533000,0.181674,0.675014,-0.305802,0.646402,-3652.883769,1230.680679,-2429.338690
185,1.542000,,,,,,,
186,1.550000,,,,,,,
187,1.558000,,,,,,,
188,1.567000,,,,,,,
189,1.575000,,,,,,,
190,1.583000,,,,,,,
191,1.592000,,,,,,,
192,1.600000,,,,,,,
193,1.608000,,,,,,,
194,1.617000,0.181848,0.682076,-0.293425,0.644674,-3676.671094,1241.247074,-2389.182183
195,1.625000,0.178589,0.680666,-0.304494,0.641937,-3679.805385,1238.050392,-2386.139104
196,1.633000,0.177117,0.681482,-0.304729,0.641367,-3682.129444,1238.958389,-2382.787436
197,1.642000,0.184624,0.676459,-0.305154,0.644359,-3681.694091,1238.521193,-2376.799503
198,1.650000,0.188833,0.675981,-0.302883,0.644712,-3682.952711,1239.456318,-2371.826551
199,1.658000,,,,,,,
200,1.667000,,,,,,,
201,1.675000,,,,,,,
202,1.683000,,,,,,,
203,1.692000,,,,,,,
204,1.700000,,,,,,,
205,1.708000,,,,,,,
206,1.717000,,,,,,,
207,1.725000,,,,,,,
208,1.733000,,,,,,,
209,1.742000,,,,,,,
210,1.750000,,,,,,,
211,1.758000,,,,,,,
212,1.767000,,,,,,,
213,1.775000,,,,,,,
214,1.783000,,,,,,,
215,1.792000,,,,,,,
216,1.800000,,,,,,,
217,1.808000,,,,,,,
218,1.817000,,,,,,,
219,1.825000,,,,,,,
220,1.833000,,,,,,,
221,1.842000,,,,,,,
222,1.850000,,,,,,,
223,1.858000,,,,,,,
224,1.867000,,,,,,,
225,1.875000,,,,,,,
226,1.883000,,,,,,,
227,1.892000,,,,,,,
228,1.900000,,,,,,,
229,1.908000,,,,,,,
230,1.917000,,,,,,,
231,1.925000,,,,,,,
232,1.933000,,,,,,,
233,1.942000,,,,,,,
234,1.950000,,,,,,,
235,1.958000,,,,,,,
236,1.967000,,,,,,,
237,1.975000,,,,,,,
238,1.983000,,,,,,,
239,1.992000,,,,,,,
240,2.000000,,,,,,,
241,2.008000,,,,,,,
242,2.017000,,,,,,,
243,2.025000,,,,,,,
244,2.033000,,,,,,,
245,2.042000,,,,,,,
246,2.050000,,,,,,,
247,2.058000,,,,,,,
248,2.067000,,,,,,,
249,2.075000,,,,,,,
250,2.083000,,,,,,,
251,2.092000,,,,,,,
252,2.100000,,,,,,,
253,2.108000,,,,,,,
254,2.117000,,,,,,,
255,2.125000,,,,,,,
256,2.133000,,,,,,,
257,2.142000,,,,,,,
258,2.150000,,,,,,,
259,2.158000,,,,,,,
260,2.167000,,,,,,,
261,2.175000,,,,,,,
262,2.183000,,,,,,,
263,2.192000,,,,,,,
264,2.200000,,,,,,,
265,2.208000,,,,,,,
266,2.217000,,,,,,,
267,2.225000,,,,,,,
268,2.233000,,,,,,,
269,2.242000,,,,,,,
270,2.250000,,,,,,,
271,2.258000,,,,,,,
272,2.267000,,,,,,,
273,2.275000,,,,,,,
274,2.283000,,,,,,,
275,2.292000,,,,,,,
276,2.300000,,,,,,,
277,2.308000,,,,,,,
278,2.317000,,,,,,,
279,2.325000,,,,,,,
280,2.333000,,,,,,,
281,2.342000,,,,,,,
282,2.350000,,,,,,,
283,2.358000,,,,,,,
284,2.367000,,,,,,,
285,2.375000,,,,,,,
286,2.383000,,,,,,,
287,2.392000,,,,,,,
288,2.400000,,,,,,,
289,2.408000,,,,,,,
290,2.417000,,,,,,,
291,2.425000,,,,,,,
292,2.433000,,,,,,,
293,2.442000,,,,,,,
294,2.450000,,,,,,,
295,2.458000,,,,,,,
296,2.467000,,,,,,,
297,2.475000,,,,,,,
298,2.483000,,,,,,,
299,2.492000,,,,,,,
300,2.500000,,,,,,,
301,2.508000,,,,,,,
302,2.517000,,,,,,,
303,2.525000,,,,,,,
304,2.533000,,,,,,,
305,2.542000,,,,,,,
306,2.550000,,,,,,,
307,2.558000,,,,,,,
308,2.567000,,,,,,,
309,2.575000,,,,,,,
310,2.583000,,,,,,,
311,2.592000,,,,,,,
312,2.600000,,,,,,,
313,2.608000,,,,,,,
314,2.617000,,,,,,,
315,2.625000,,,,,,,
316,2.633000,,,,,,,
317,2.642000,,,,,,,
318,2.650000,,,,,,,
319,2.658000,,,,,,,
320,2.667000,,,,,,,
321,2.675000,,,,,,,
322,2.683000,,,,,,,
323,2.692000,,,,,,,
324,2.700000,,,,,,,
325,2.708000,,,,,,,
326,2.717000,,,,,,,
327,2.725000,,,,,,,
328,2.733000,,,,,,,
329,2.742000,,,,,,,
330,2.750000,,,,,,,
331,2.758000,,,,,,,
332,2.767000,,,,,,,
333,2.775000,,,,,,,
334,2.783000,,,,,,,
335,2.792000,,,,,,,
336,2.800000,,,,,,,
337,2.808000,,,,,,,
338,2.817000,,,,,,,
339,2.825000,,,,,,,
340,2.833000,,,,,,,
341,2.842000,,,,,,,
342,2.850000,,,,,,,
343,2.858000,,,,,,,
344,2.867000,,,,,,,
345,2.875000,,,,,,,
346,2.883000,,,,,,,
347,2.892000,,,,,,,
348,2.900000,,,,,,,
349,2.908000,,,,,,,
350,2.917000,,,,,,,
351,2.925000,,,,,,,
352,2.933000,,,,,,,
353,2.942000,,,,,,,
354,2.950000,,,,,,,
355,2.958000,,,,,,,
356,2.967000,,,,,,,
357,2.975000,,,,,,,
358,2.983000,,,,,,,
359,2.992000,,,,,,,
360,3.000000,,,,,,,
361,3.008000,,,,,,,
362,3.017000,,,,,,,
363,3.025000,,,,,,,
364,3.033000,,,,,,,
365,3.042000,,,,,,,
366,3.050000,,,,,,,
367,3.058000,,,,,,,
368,3.067000,,,,,,,
369,3.075000,,,,,,,
370,3.083000,,,,,,,
371,3.092000,,,,,,,
372,3.100000,,,,,,,
373,3.108000,,,,,,,
374,3.117000,,,,,,,
375,3.125000,,,,,,,
376,3.133000,,,,,,,
377,3.142000,,,,,,,
378,3.150000,,,,,,,
379,3.158000,,,,,,,
