Format Version,1.23,Take Name,1 Lampe weißer  Raum 60_solved,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-05-09 06.41.11.451,Capture Start Frame,3069013,Total Frames in Take,20882,Total Exported Frames,20882,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Belichtungsmesser,Belichtungsmesser,Belichtungsmesser,Belichtungsmesser,Belichtungsmesser,Belichtungsmesser,Belichtungsmesser,Quikpunch,Quikpunch,Quikpunch,Quikpunch,Quikpunch,Quikpunch,Quikpunch
,ID,CB533F304BA611F1291E8F4A9A9044A0,CB533F304BA611F1291E8F4A9A9044A0,CB533F304BA611F1291E8F4A9A9044A0,CB533F304BA611F1291E8F4A9A9044A0,CB533F304BA611F1291E8F4A9A9044A0,CB533F304BA611F1291E8F4A9A9044A0,CB533F304BA611F1291E8F4A9A9044A0,772F91124BA711F1291E8F4A9A9044A0,772F91124BA711F1291E8F4A9A9044A0,772F91124BA711F1291E8F4A9A9044A0,772F91124BA711F1291E8F4A9A9044A0,772F91124BA711F1291E8F4A9A9044A0,772F91124BA711F1291E8F4A9A9044A0,772F91124BA711F1291E8F4A9A9044A0
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
27,0.225000,-0.031262,-0.846526,0.491592,0.201877,-4014.573510,1025.902601,-2911.350527,0.016055,-0.697650,0.010264,0.716186,-27.783348,1550.360267,999.293337
28,0.233000,-0.032366,-0.846936,0.491112,0.201147,-4014.308033,1025.980602,-2911.517357,0.016008,-0.697674,0.010230,0.716164,-27.785868,1550.369825,999.296198
29,0.242000,-0.032803,-0.847121,0.491066,0.200410,-4013.989797,1026.020851,-2911.660635,0.015998,-0.697693,0.010206,0.716145,-27.796046,1550.377748,999.303573
30,0.250000,-0.032954,-0.847234,0.491084,0.199865,-4013.682360,1026.040388,-2911.719308,0.015961,-0.697707,0.010200,0.716133,-27.780083,1550.387338,999.298577
31,0.258000,-0.033018,-0.847357,0.491214,0.199011,-4013.345541,1026.005161,-2911.821885,0.015928,-0.697656,0.010252,0.716182,-27.769889,1550.393852,999.312096
32,0.267000,-0.033242,-0.847709,0.490767,0.198573,-4013.029442,1026.180395,-2911.852893,0.015880,-0.697680,0.010223,0.716160,-27.773800,1550.409874,999.304316
33,0.275000,-0.033401,-0.847957,0.490595,0.197914,-4012.713674,1026.248374,-2911.923225,0.015967,-0.697679,0.010271,0.716159,-27.768808,1550.402657,999.315326
34,0.283000,-0.033844,-0.848157,0.490504,0.197207,-4012.375674,1026.307237,-2912.043974,0.015952,-0.697703,0.010271,0.716136,-27.773184,1550.411427,999.319222
35,0.292000,-0.034172,-0.848258,0.490486,0.196761,-4012.074381,1026.352558,-2912.117910,0.015896,-0.697688,0.010252,0.716152,-27.769255,1550.422221,999.322002
36,0.300000,-0.034238,-0.848306,0.490652,0.196127,-4011.790487,1026.326817,-2912.195261,0.015818,-0.697676,0.010235,0.716166,-27.774847,1550.427508,999.327245
37,0.308000,-0.034331,-0.848278,0.490654,0.196225,-4011.595917,1026.400787,-2912.178719,0.015771,-0.697660,0.010210,0.716183,-27.783969,1550.426329,999.323388
38,0.317000,-0.034310,-0.848257,0.490845,0.195840,-4011.391060,1026.374054,-2912.228681,0.015807,-0.697663,0.010182,0.716179,-27.789788,1550.404523,999.312306
39,0.325000,-0.033862,-0.848258,0.491049,0.195404,-4011.207114,1026.261927,-2912.240827,0.015945,-0.697642,0.010218,0.716196,-27.788220,1550.370531,999.302890
40,0.333000,-0.033924,-0.848246,0.491161,0.195162,-4011.020296,1026.240187,-2912.305092,0.016014,-0.697682,0.010214,0.716156,-27.790947,1550.350961,999.292340
41,0.342000,-0.033539,-0.848233,0.491433,0.194602,-4010.839578,1026.087002,-2912.382876,0.016049,-0.697678,0.010220,0.716159,-27.794262,1550.348406,999.306065
42,0.350000,-0.033729,-0.848209,0.491522,0.194447,-4010.628878,1026.059337,-2912.461111,0.015979,-0.697630,0.010210,0.716207,-27.799192,1550.362595,999.321784
43,0.358000,-0.033775,-0.848152,0.491799,0.193988,-4010.369698,1025.940819,-2912.569389,0.015910,-0.697648,0.010163,0.716192,-27.808660,1550.364392,999.327163
44,0.367000,-0.033846,-0.848123,0.492053,0.193457,-4010.091656,1025.815026,-2912.690541,0.015914,-0.697611,0.010198,0.716228,-27.784686,1550.359850,999.322376
45,0.375000,-0.034107,-0.848098,0.492289,0.192921,-4009.768795,1025.718866,-2912.830234,0.015955,-0.697589,0.010218,0.716248,-27.780693,1550.352952,999.308493
46,0.383000,-0.034559,-0.848083,0.492537,0.192273,-4009.409255,1025.624564,-2912.995162,0.016045,-0.697583,0.010251,0.716251,-27.788668,1550.331856,999.305505
47,0.392000,-0.034874,-0.848103,0.492756,0.191564,-4009.051054,1025.512232,-2913.152156,0.016079,-0.697558,0.010247,0.716274,-27.786727,1550.325828,999.306879
48,0.400000,-0.034929,-0.848391,0.492662,0.190519,-4008.710032,1025.337258,-2913.354730,0.016061,-0.697588,0.010207,0.716246,-27.796867,1550.333698,999.313078
49,0.408000,-0.035110,-0.848633,0.492526,0.189754,-4008.377169,1025.281654,-2913.561147,0.016015,-0.697528,0.010257,0.716305,-27.781542,1550.346639,999.324316
50,0.417000,-0.035474,-0.848645,0.492666,0.189272,-4008.071635,1025.278741,-2913.730763,0.015958,-0.697583,0.010253,0.716253,-27.769497,1550.384801,999.315908
51,0.425000,-0.035549,-0.848628,0.492966,0.188552,-4007.756557,1025.194106,-2913.922163,0.015950,-0.697628,0.010234,0.716209,-27.774695,1550.381854,999.313648
52,0.433000,-0.035601,-0.848697,0.493068,0.187961,-4007.495824,1025.163012,-2914.104933,0.015981,-0.697640,0.010222,0.716197,-27.771244,1550.384779,999.314840
53,0.442000,-0.035708,-0.848769,0.493029,0.187719,-4007.278386,1025.201155,-2914.232222,0.015941,-0.697638,0.010234,0.716200,-27.773580,1550.382315,999.325049
54,0.450000,-0.035590,-0.848892,0.493064,0.187091,-4007.075031,1025.189626,-2914.411097,0.015881,-0.697696,0.010171,0.716145,-27.798345,1550.395034,999.311861
55,0.458000,-0.035262,-0.849018,0.493052,0.186615,-4006.900244,1025.182950,-2914.532262,0.015898,-0.697666,0.010186,0.716174,-27.785546,1550.392004,999.308384
56,0.467000,-0.035078,-0.849173,0.493012,0.186047,-4006.713027,1025.227710,-2914.704493,0.015892,-0.697650,0.010223,0.716189,-27.781321,1550.389560,999.314045
