frame,seconds,milliseconds,value
8561,142,683,370
8629,143,817,400
8663,144,383,420
8748,145,800,450
8766,146,100,500
8799,146,650,520
8869,147,817,500
8886,148,100,520
8891,148,183,520
8913,148,550,520
8937,148,950,560
8954,149,233,600
9005,150,83,640
9057,150,950,800
9107,151,783,740
9125,152,83,740
9130,152,167,740
9159,152,650,800
9176,152,933,800
9195,153,250,1100
9211,153,517,1300
9228,153,800,1500
9245,154,83,1800
9263,154,383,2000
9279,154,650,2400
